acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,crash
0.132,1.827,0.664,0.0,0.0,0.0,yes
-1.13,-0.109,1.59,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-1.201,0.276,1.17,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
1.703,-0.241,1.375,-1e-05,-2e-05,1e-05,yes
-0.188,-0.75,0.938,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-0.375,1.125,1.5,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-0.188,-0.75,1.125,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-0.75,-0.188,0.938,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-0.188,-0.75,0.938,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-1.681,-0.009,1.961,0.0,9e-05,1e-05,yes
-1.027,0.886,0.693,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
1.274,0.042,1.46,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-1.077,-0.69,1.591,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
2.159,-0.007,-1.076,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
0.512,-0.822,2.501,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
0.576,-0.65,2.254,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
0.585,-0.732,2.497,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
0.637,-0.749,2.495,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
0.421,1.054,0.981,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-0.984,-1.075,0.539,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-1.521,4.356,2.444,9e-05,0.00011,-7e-05,yes
-1.179,-1.198,0.025,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-2.329,-3.989,-1.304,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-2.068,-3.205,-1.434,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
3.569,1.908,-0.425,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
-1.296,0.004,0.856,2e-05,0.0,0.0,yes
1.444,-0.669,1.216,1e-05,-1e-05,0.0,yes
-0.317,-1.223,0.051,0.0,0.0,0.0,yes
-0.614,1.949,2.44,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
0.217,-0.946,0.983,3e-05,1e-05,-3e-05,yes
0.4,0.841,1.676,1e-05,-1e-05,0.0,yes
0.335,0.841,1.444,-2e-05,3e-05,3e-05,yes
-0.729,0.841,1.144,-0.0,2e-05,-1e-05,yes
-0.576,0.841,0.975,-0.0,1e-05,-1e-05,yes
0.495,-0.729,1.39,2e-05,2e-05,-1e-05,yes
-0.169,1.024,1.169,2e-05,-2e-05,0.0,yes
-0.1,-0.9,0.961,0.0,0.0,-5e-05,yes
0.65,-0.757,1.306,-2e-05,-4e-05,-4e-05,yes
1.225,0.729,2.024,0.0,0.0,1e-05,yes
0.307,-0.961,1.273,3e-05,-0.0,0.0,yes
-0.281,-0.841,1.176,1e-05,-1e-05,-2e-05,yes
-0.452,0.841,1.421,1e-05,0.0,-1e-05,yes
-1.122,-0.241,0.638,1e-05,-1e-05,-5e-05,yes
1.764,-0.004,2.156,0.0,-4e-05,-0.0,yes
1.681,0.241,2.369,-1e-05,-4e-05,-0.0,yes
1.351,0.289,1.871,3e-05,-2e-05,-2e-05,yes
1.278,0.519,1.931,4e-05,-3e-05,-2e-05,yes
1.089,1.296,1.651,3e-05,-2e-05,-0.0,yes
1.62,0.343,2.191,3e-05,-5e-05,-0.0,yes
2.025,0.39,2.106,3e-05,-1e-05,0.0,yes
2.704,0.273,2.807,1e-05,-1e-05,1e-05,yes
1.6,1.225,2.225,4e-05,-5e-05,-1e-05,yes
1.369,-0.361,1.602,-1e-05,-2e-05,-5e-05,yes
1.892,0.196,2.09,1e-05,1e-05,0.0,yes
1.521,0.841,2.173,2e-05,-1e-05,-1e-05,yes
-0.485,-1.089,0.711,-2e-05,4e-05,-2e-05,yes
-1.521,0.025,0.516,-1e-05,5e-05,-7e-05,yes
-0.169,-1.225,1.081,1e-05,0.0,-1e-05,yes
1.849,0.256,2.681,-1e-05,-4e-05,-0.0,yes
0.473,-1.024,1.352,0.0,-1e-05,-2e-05,yes
1.6,0.169,2.296,0.0,-1e-05,-0.0,yes
0.036,-1.296,0.324,1e-05,1e-05,-4e-05,yes
1.849,0.625,2.764,2e-05,-5e-05,-2e-05,yes
